full_path,label,choice_1,choice_2,choice_3,choice_4,choice_5,human_choice,choice,choice_is_human
/n/fs/visualai-scr/Data/Mimetics2/playing guitar/G_3kwIzNN3g_000050_000057,playing guitar,playing saxophone,hurdling,playing guitar,hitting baseball,punching person (boxing),3,E,False
/n/fs/visualai-scr/Data/Mimetics2/playing guitar/j8lFuauKYlg_000020_000025,playing guitar,hurdling,brushing hair,reading newspaper,playing bass guitar,playing guitar,5,E,True
/n/fs/visualai-scr/Data/Mimetics2/playing guitar/WQ8E-AVgcUw_000020_000030,playing guitar,skiing slalom,flying kite,eating ice cream,playing guitar,writing,4,A,False
/n/fs/visualai-scr/Data/Mimetics2/playing guitar/jJPCbVsrQbw_000000_000002,playing guitar,playing guitar,sword fighting,reading newspaper,climbing a rope,playing tennis,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/playing guitar/v3K8cu6dT9s_000020_000030,playing guitar,playing tennis,playing guitar,bowling,dunking basketball,catching or throwing frisbee,2,E,False
/n/fs/visualai-scr/Data/Mimetics2/bowling/-xdBnY59MyY_000108_000112,bowling,dunking basketball,eating ice cream,brushing hair,skiing (not slalom or crosscountry),bowling,5,E,True
/n/fs/visualai-scr/Data/Mimetics2/bowling/a9xyg4iz7KM_000003_000005,bowling,smoking,brushing teeth,juggling soccer ball,bowling,walking the dog,4,E,False
/n/fs/visualai-scr/Data/Mimetics2/bowling/9ysdRIode6A_000105_000108,bowling,hitting baseball,bowling,shooting goal (soccer),playing violin,clean and jerk,2,E,False
/n/fs/visualai-scr/Data/Mimetics2/playing saxophone/7LTKAifeIgQ_000005_000015,playing saxophone,climbing ladder,flying kite,clean and jerk,brushing teeth,playing saxophone,5,E,True
/n/fs/visualai-scr/Data/Mimetics2/playing saxophone/9qVfAdeiq0A_000020_000027,playing saxophone,hitting baseball,playing saxophone,deadlifting,playing volleyball,skipping rope,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/playing saxophone/uJ38b0KykWI_000015_000020,playing saxophone,playing tennis,playing bass guitar,skipping rope,climbing ladder,playing saxophone,5,E,True
/n/fs/visualai-scr/Data/Mimetics2/brushing teeth/8FtwAj8XQ7o_000120_000125,brushing teeth,brushing teeth,driving car,playing volleyball,catching or throwing frisbee,skipping rope,1,E,False
/n/fs/visualai-scr/Data/Mimetics2/brushing teeth/xyXEdjivNDU_000051_000055,brushing teeth,playing basketball,catching or throwing baseball,brushing teeth,flying kite,playing saxophone,3,B,False
/n/fs/visualai-scr/Data/Mimetics2/brushing teeth/5CV-aGIS00w_000144_000147,brushing teeth,brushing teeth,juggling balls,climbing a rope,eating ice cream,catching or throwing baseball,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/brushing teeth/TBdnqWOtY-o_000000_000008,brushing teeth,brushing teeth,archery,playing accordion,walking the dog,sweeping floor,1,C,False
/n/fs/visualai-scr/Data/Mimetics2/playing basketball/JwkAbfty5p8_000019_000025,playing basketball,flying kite,cleaning windows,playing basketball,deadlifting,playing trumpet,3,C,True
/n/fs/visualai-scr/Data/Mimetics2/playing basketball/vNUcBRjaboo_000022_000027,playing basketball,catching or throwing frisbee,archery,punching person (boxing),playing basketball,hitting baseball,4,D,True
/n/fs/visualai-scr/Data/Mimetics2/playing basketball/xv60PJOPVgg_000003_000009,playing basketball,smoking,dribbling basketball,playing volleyball,playing basketball,walking the dog,4,D,True
/n/fs/visualai-scr/Data/Mimetics2/playing basketball/g7qQK6Qxi3U_000012_000017,playing basketball,dunking basketball,skipping rope,playing bass guitar,playing basketball,reading newspaper,4,A,False
