action_swap_path,frame_num,label_A,label_B,predicted_label,predicted_score,human_action_rank,human_action_score,background_action_rank,background_action_score,human_top1,human_top5,background_top1,background_top5,background_wins,ranking_gap,score_gap,top10_predictions
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000000_deadlifting_to_juggling soccer ball_f8dp7wR4GWg_000003_000013_bg_MCV13GHst20_000002_000012,150.0,deadlifting,juggling soccer ball,skipping rope,0.4212248921394348,9,0.031005946919322014,3,0.06236373633146286,False,False,False,True,True,-6,0.031357789412140846,"['skipping rope', 'clean and jerk', 'juggling soccer ball', 'playing volleyball', 'climbing a rope', 'juggling balls', 'playing basketball', 'shooting goal (soccer)', 'deadlifting', 'dribbling basketball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000004_smoking_to_deadlifting_EbRJ9qx31AM_000016_000026_bg_zplKZpwToWc_000000_000010,150.5,smoking,deadlifting,driving car,0.19368532299995422,10,0.021449757739901543,17,0.014169665053486824,False,False,False,False,False,7,-0.007280092686414719,"['driving car', 'bowling', 'juggling balls', 'tying tie', 'playing accordion', 'juggling soccer ball', 'punching person (boxing)', 'golf driving', 'brushing hair', 'smoking']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000008_playing trumpet_to_hitting baseball_-BtzVCzSnLk_000073_000083_bg_w-AQcjcoDyA_000114_000124,150.0,playing trumpet,hitting baseball,juggling soccer ball,0.29830402135849,11,0.014164981432259083,8,0.021151218563318253,False,False,False,False,True,-3,0.00698623713105917,"['juggling soccer ball', 'playing tennis', 'juggling balls', 'catching or throwing baseball', 'opening bottle', 'playing accordion', 'climbing a rope', 'hitting baseball', 'catching or throwing frisbee', 'drinking']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000012_tying tie_to_drinking_ecNLf37mews_000012_000022_bg_s-vLJUmPmhA_000109_000119,150.0,tying tie,drinking,tying tie,0.9812620282173157,1,0.9812620282173157,23,0.0001081826412701048,True,True,False,False,False,22,-0.9811538455760456,"['tying tie', 'playing accordion', 'juggling soccer ball', 'juggling balls', 'playing piano', 'playing saxophone', 'opening bottle', 'brushing teeth', 'punching person (boxing)', 'writing']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000016_shooting basketball_to_hurdling_j8i_2Hz1XHA_000003_000013_bg_AYHbK7Ba50A_000078_000088,150.0,shooting basketball,hurdling,hurdling,0.9604805707931519,12,0.0006654567550867796,1,0.9604805707931519,False,False,True,True,True,-11,0.9598151140380651,"['hurdling', 'skiing slalom', 'shooting goal (soccer)', 'skiing (not slalom or crosscountry)', 'archery', 'flying kite', 'playing volleyball', 'skipping rope', 'catching or throwing frisbee', 'playing tennis']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000020_eating ice cream_to_sword fighting_GQQ3s4O_-HY_000006_000016_bg_VoX60Mfn15k_000007_000017,150.0,eating ice cream,sword fighting,eating ice cream,0.7161314487457275,1,0.7161314487457275,29,0.00022466319205705076,True,True,False,False,False,28,-0.7159067855536705,"['eating ice cream', 'eating cake', 'brushing hair', 'brushing teeth', 'opening bottle', 'playing violin', 'playing accordion', 'drinking', 'playing piano', 'playing saxophone']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000024_dunking basketball_to_flying kite_f0H5AVFMHrg_000000_000010_bg_07xOT83TIG4_000040_000050,150.0,dunking basketball,flying kite,flying kite,0.9412892460823059,11,0.0005721605266444385,1,0.9412892460823059,False,False,True,True,True,-10,0.9407170855556615,"['flying kite', 'shooting goal (soccer)', 'juggling soccer ball', 'juggling balls', 'catching or throwing frisbee', 'shooting basketball', 'dribbling basketball', 'playing basketball', 'archery', 'skipping rope']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000028_climbing ladder_to_canoeing or kayaking_qWr7plHuEtE_000024_000034_bg_2ENSwCFJ07A_000016_000026,151.5,climbing ladder,canoeing or kayaking,canoeing or kayaking,0.5838261246681213,17,0.0031984716188162565,1,0.5838261246681213,False,False,True,True,True,-16,0.5806276530493051,"['canoeing or kayaking', 'surfing water', 'skiing slalom', 'sword fighting', 'juggling balls', 'juggling soccer ball', 'skipping rope', 'skiing (not slalom or crosscountry)', 'dribbling basketball', 'climbing a rope']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000032_shooting goal (soccer)_to_catching or throwing frisbee_YAmbVR1n56c_000144_000154_bg_MsfeeRqyaa4_000003_000013,150.0,shooting goal (soccer),catching or throwing frisbee,shooting goal (soccer),0.5295121073722839,1,0.5295121073722839,3,0.005068764090538025,True,True,False,True,False,2,-0.5244433432817459,"['shooting goal (soccer)', 'juggling soccer ball', 'catching or throwing frisbee', 'juggling balls', 'hurdling', 'skipping rope', 'dribbling basketball', 'flying kite', 'catching or throwing baseball', 'hitting baseball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000036_playing piano_to_driving car_9o68AyEWzcM_000081_000091_bg_tVuop87KbDY_000011_000021,150.0,playing piano,driving car,driving car,0.7562512159347534,33,0.00039517926052212715,1,0.7562512159347534,False,False,True,True,True,-32,0.7558560366742313,"['driving car', 'golf driving', 'surfing water', 'canoeing or kayaking', 'cleaning windows', 'juggling soccer ball', 'skiing (not slalom or crosscountry)', 'skiing slalom', 'dribbling basketball', 'sword fighting']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000040_playing piano_to_eating cake_4mQP7S4EGwg_000020_000030_bg_IRppx8kfVlA_000006_000016,150.0,playing piano,eating cake,playing piano,0.12445760518312454,1,0.12445760518312454,28,0.009196899831295013,True,True,False,False,False,27,-0.11526070535182953,"['playing piano', 'juggling soccer ball', 'playing violin', 'reading newspaper', 'cleaning windows', 'juggling balls', 'playing basketball', 'playing accordion', 'playing guitar', 'smoking']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000044_shooting basketball_to_archery_xvU1Zt_P97Q_000066_000076_bg_oZ0QUyB18Zg_000178_000188,150.0,shooting basketball,archery,shooting goal (soccer),0.42802903056144714,4,0.05564136803150177,2,0.08849978446960449,False,True,False,True,True,-2,0.03285841643810272,"['shooting goal (soccer)', 'archery', 'hitting baseball', 'shooting basketball', 'playing basketball', 'punching person (boxing)', 'catching or throwing frisbee', 'juggling soccer ball', 'skipping rope', 'playing tennis']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000048_eating cake_to_brushing teeth_4EZs8ShkVEk_000092_000102_bg_4LjTObjauus_000022_000032,150.0,eating cake,brushing teeth,opening bottle,0.306064248085022,8,0.03467988595366478,3,0.08705079555511475,False,False,False,True,True,-5,0.052370909601449966,"['opening bottle', 'punching person (boxing)', 'brushing teeth', 'climbing a rope', 'cleaning windows', 'juggling soccer ball', 'drinking', 'eating cake', 'surfing water', 'brushing hair']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000052_reading newspaper_to_sweeping floor_-8oPwToqArE_000001_000011_bg_n5ZHSJRZl1U_000002_000012,150.0,reading newspaper,sweeping floor,opening bottle,0.42207401990890503,32,0.0010199034586548805,20,0.003408401273190975,False,False,False,False,True,-12,0.0023884978145360947,"['opening bottle', 'punching person (boxing)', 'juggling soccer ball', 'juggling balls', 'cleaning windows', 'eating ice cream', 'brushing hair', 'drinking', 'brushing teeth', 'eating cake']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000056_playing saxophone_to_dribbling basketball_f8cq1C_NRKc_000076_000086_bg_P9lotgUhYQc_000022_000032,150.0,playing saxophone,dribbling basketball,dribbling basketball,0.7387732863426208,14,0.0025585650000721216,1,0.7387732863426208,False,False,True,True,True,-13,0.7362147213425487,"['dribbling basketball', 'shooting basketball', 'dunking basketball', 'playing basketball', 'juggling balls', 'smoking', 'sweeping floor', 'juggling soccer ball', 'opening bottle', 'shooting goal (soccer)']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000060_shooting basketball_to_dunking basketball_jnTuUuETpSs_000002_000012_bg_N8L8j0RTFdg_000025_000035,150.5,shooting basketball,dunking basketball,juggling balls,0.2230958640575409,7,0.05201546847820282,8,0.03956245258450508,False,False,False,False,False,1,-0.012453015893697739,"['juggling balls', 'punching person (boxing)', 'juggling soccer ball', 'dribbling basketball', 'skipping rope', 'clean and jerk', 'shooting basketball', 'dunking basketball', 'playing basketball', 'tying tie']"
