index,img_path,label_A,label_B,clip_choice,prob0,prompt0,prob1,prompt1
0,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000000_deadlifting_to_juggling soccer ball_f8dp7wR4GWg_000003_000013_bg_MCV13GHst20_000002_000012/000151.jpg,deadlifting,juggling soccer ball,0,28.165822982788086,A person doing deadlifting at park,25.593297958374023,A person doing juggling soccer ball at sports center
1,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000001_reading book_to_catching or throwing baseball_F6Z0vch07n8_000036_000046_bg_eECGtFjKTY8_000018_000028/000151.jpg,reading book,catching or throwing baseball,1,20.11632537841797,A person doing reading book at school playground,24.91699981689453,A person doing catching or throwing baseball at bedroom
2,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000002_dunking basketball_to_flying kite_ePkJVG2MnBg_000009_000019_bg_xPYKPbEN6Wc_000104_000114/000151.jpg,dunking basketball,flying kite,1,21.84493637084961,A person doing dunking basketball at park,21.949474334716797,A person doing flying kite at gymnasium
3,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000003_playing piano_to_dunking basketball_6Mc8e7lgJtk_000011_000021_bg_Bl28qY8T6NA_000045_000055/000151.jpg,playing piano,dunking basketball,1,26.62571144104004,A person doing playing piano at basketball court,31.047725677490234,A person doing dunking basketball at jazz club
4,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000004_smoking_to_deadlifting_EbRJ9qx31AM_000016_000026_bg_zplKZpwToWc_000000_000010/000151.jpg,smoking,deadlifting,0,24.444753646850586,A person doing smoking at garage,21.14939308166504,A person doing deadlifting at café
5,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000005_dunking basketball_to_playing piano_IbhU85-DEic_000007_000017_bg_ErtSFRpSeDA_000088_000098/000152.jpg,dunking basketball,playing piano,1,24.669214248657227,A person doing dunking basketball at music studio,29.08015251159668,A person doing playing piano at backyard
6,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000006_sweeping floor_to_playing guitar_ZmcFe0bj7N0_000031_000041_bg_PWk72vKZQNU_000071_000081/000151.jpg,sweeping floor,playing guitar,1,16.926307678222656,A person doing sweeping floor at park,28.092618942260742,A person doing playing guitar at classroom
7,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000007_catching or throwing baseball_to_sweeping floor_w1c9XilT7NU_000007_000017_bg_fkZxB6qCvf4_000003_000013/000151.jpg,catching or throwing baseball,sweeping floor,1,27.289052963256836,A person doing catching or throwing baseball at gym,32.75157165527344,A person doing sweeping floor at school playground
8,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000008_playing trumpet_to_hitting baseball_-BtzVCzSnLk_000073_000083_bg_w-AQcjcoDyA_000114_000124/000151.jpg,playing trumpet,hitting baseball,0,25.18998146057129,A person doing playing trumpet at school gymnasium,25.010337829589844,A person doing hitting baseball at park bench
9,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000009_catching or throwing baseball_to_climbing ladder_LQH6hZT6ZbI_000116_000126_bg_93sxC_WUAOs_000096_000106/000151.jpg,catching or throwing baseball,climbing ladder,0,29.599212646484375,A person doing catching or throwing baseball at fire station,29.406801223754883,A person doing climbing ladder at baseball field
10,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000010_driving car_to_reading book_wS5HGP6HaQk_000021_000031_bg_PsiGCxGW12A_000086_000096/000151.jpg,driving car,reading book,0,19.879878997802734,A person doing driving car at park,19.71162223815918,A person doing reading book at highway
11,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000011_climbing a rope_to_skiing (not slalom or crosscountry)_miHEwIXio_c_000035_000045_bg_XNJ7LUGL13I_000006_000016/000151.jpg,climbing a rope,skiing (not slalom or crosscountry),0,31.906959533691406,A person doing climbing a rope at zermatt,29.825407028198242,A person doing skiing (not slalom or crosscountry) at military training facility
12,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000012_tying tie_to_drinking_ecNLf37mews_000012_000022_bg_s-vLJUmPmhA_000109_000119/000151.jpg,tying tie,drinking,0,28.3446102142334,A person doing tying tie at home,24.64813804626465,A person doing drinking at hotel room
13,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000013_juggling soccer ball_to_playing volleyball_b4qCiigUelQ_000016_000026_bg_u14xcMsAsA0_000055_000065/000151.jpg,juggling soccer ball,playing volleyball,0,29.19803237915039,A person doing juggling soccer ball at gym,27.526268005371094,A person doing playing volleyball at backyard
14,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000014_bowling_to_eating ice cream_Epp4z1hle48_000033_000043_bg_dxV0ZeVJYAU_000005_000015/000151.jpg,bowling,eating ice cream,0,23.104393005371094,A person doing bowling at beach,21.532974243164062,A person doing eating ice cream at family entertainment center
15,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000015_cleaning windows_to_clean and jerk_sn2TKS2zqo0_000061_000071_bg_cS3_7_XY4RU_000005_000015/000151.jpg,cleaning windows,clean and jerk,1,25.527359008789062,A person doing cleaning windows at weightlifting competition,26.88237190246582,A person doing clean and jerk at office building
16,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000016_shooting basketball_to_hurdling_j8i_2Hz1XHA_000003_000013_bg_AYHbK7Ba50A_000078_000088/000151.jpg,shooting basketball,hurdling,1,27.952333450317383,A person doing shooting basketball at track,28.608503341674805,A person doing hurdling at driveway
17,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000017_smoking_to_deadlifting_JzSw34VjIzo_000032_000042_bg_Zm4jkDRzcZc_000003_000013/000151.jpg,smoking,deadlifting,0,24.214323043823242,A person doing smoking at sports center,22.946300506591797,A person doing deadlifting at rooftop
