label,accuracy
playing guitar,0.200000
bowling,0.630769
playing saxophone,0.353846
brushing teeth,0.960000
playing basketball,0.657143
tying tie,0.550000
brushing hair,0.950000
punching person (boxing),0.875000
playing accordion,0.545455
archery,0.463158
catching or throwing frisbee,0.928571
drinking,0.829630
eating ice cream,0.763636
flying kite,0.460000
sweeping floor,0.472727
skipping rope,0.966667
clean and jerk,0.753846
eating cake,0.526316
catching or throwing baseball,0.885714
skiing (not slalom or crosscountry),0.480000
juggling soccer ball,0.822222
deadlifting,0.945455
shooting basketball,0.589474
canoeing or kayaking,0.314286
surfing water,0.580000
playing volleyball,0.753846
playing piano,0.576471
writing,0.615385
dribbling basketball,0.711111
juggling balls,0.800000
playing trumpet,0.500000
smoking,0.842105
shooting goal (soccer),0.971429
hitting baseball,0.973333
sword fighting,0.729412
climbing ladder,0.153846
playing bass guitar,0.415385
playing tennis,0.473684
climbing a rope,0.428571
golf driving,0.737500
hurdling,0.840000
dunking basketball,0.880000
skiing slalom,0.440000
reading book,0.280000
walking the dog,0.480000
driving car,0.337500
cleaning windows,0.150000
opening bottle,0.422222
playing violin,0.410000
reading newspaper,0.120000
