background_class,pred_human,pred_background,total,human_acc,background_error
presenting weather forecast,2,49,55,0.0363636363636363,0.8909090909090909
decorating the christmas tree,3,49,65,0.0461538461538461,0.7538461538461538
cutting pineapple,0,38,54,0.0,0.7037037037037037
ice skating,0,34,49,0.0,0.6938775510204082
cleaning toilet,0,32,47,0.0,0.6808510638297872
frying vegetables,0,33,49,0.0,0.673469387755102
jumping into pool,2,31,47,0.0425531914893617,0.6595744680851063
changing oil,2,35,54,0.037037037037037,0.6481481481481481
milking cow,4,29,45,0.0888888888888888,0.6444444444444445
playing chess,1,31,49,0.0204081632653061,0.6326530612244898
cutting watermelon,0,27,43,0.0,0.627906976744186
feeding fish,2,36,59,0.0338983050847457,0.6101694915254238
bowling,1,32,54,0.0185185185185185,0.5925925925925926
assembling computer,2,28,49,0.0408163265306122,0.5714285714285714
playing monopoly,1,33,60,0.0166666666666666,0.55
grinding meat,1,28,51,0.0196078431372549,0.5490196078431373
golf chipping,0,38,72,0.0,0.5277777777777778
flipping pancake,4,25,48,0.0833333333333333,0.5208333333333334
cooking egg,2,29,57,0.0350877192982456,0.5087719298245614
playing tennis,3,25,50,0.06,0.5
shearing sheep,0,26,53,0.0,0.490566037735849
baking cookies,4,26,55,0.0727272727272727,0.4727272727272727
cooking on campfire,2,24,51,0.0392156862745098,0.4705882352941176
cleaning shoes,4,29,62,0.064516129032258,0.4677419354838709
sailing,0,20,43,0.0,0.4651162790697674
carving pumpkin,1,26,56,0.0178571428571428,0.4642857142857143
feeding goats,1,25,54,0.0185185185185185,0.4629629629629629
swimming backstroke,1,26,57,0.0175438596491228,0.4561403508771929
tossing salad,2,26,58,0.0344827586206896,0.4482758620689655
cooking chicken,2,29,65,0.0307692307692307,0.4461538461538462
petting cat,4,23,53,0.0754716981132075,0.4339622641509434
clay pottery making,3,26,60,0.05,0.4333333333333333
bouncing on trampoline,1,25,58,0.0172413793103448,0.4310344827586206
blowing out candles,3,29,68,0.0441176470588235,0.4264705882352941
parasailing,0,24,60,0.0,0.4
playing controller,2,24,60,0.0333333333333333,0.4
drawing,0,19,48,0.0,0.3958333333333333
counting money,3,18,46,0.0652173913043478,0.391304347826087
riding camel,1,18,46,0.0217391304347826,0.391304347826087
riding mechanical bull,5,22,57,0.087719298245614,0.3859649122807017
riding elephant,2,25,66,0.0303030303030303,0.3787878787878788
playing drums,3,21,56,0.0535714285714285,0.375
pumping gas,2,22,59,0.0338983050847457,0.3728813559322034
using computer,1,19,51,0.0196078431372549,0.3725490196078431
running on treadmill,1,17,46,0.0217391304347826,0.3695652173913043
exercising with an exercise ball,3,17,47,0.0638297872340425,0.3617021276595745
ice climbing,0,22,61,0.0,0.360655737704918
playing keyboard,0,20,56,0.0,0.3571428571428571
arranging flowers,1,21,59,0.0169491525423728,0.3559322033898305
playing piano,6,16,45,0.1333333333333333,0.3555555555555555
pushing wheelchair,3,19,54,0.0555555555555555,0.3518518518518518
balloon blowing,2,20,57,0.0350877192982456,0.3508771929824561
mowing lawn,0,18,53,0.0,0.3396226415094339
playing squash or racquetball,3,19,58,0.0517241379310344,0.3275862068965517
training dog,2,18,55,0.0363636363636363,0.3272727272727272
ice fishing,0,15,47,0.0,0.3191489361702128
skydiving,4,15,47,0.0851063829787234,0.3191489361702128
cleaning windows,4,14,44,0.0909090909090909,0.3181818181818182
picking fruit,3,20,63,0.0476190476190476,0.3174603174603174
making a sandwich,2,17,54,0.037037037037037,0.3148148148148148
checking tires,1,24,77,0.0129870129870129,0.3116883116883117
feeding birds,2,15,49,0.0408163265306122,0.3061224489795918
brush painting,0,17,56,0.0,0.3035714285714285
unboxing,3,16,54,0.0555555555555555,0.2962962962962963
scuba diving,0,17,58,0.0,0.293103448275862
playing cymbals,4,17,58,0.0689655172413793,0.293103448275862
playing bass guitar,1,14,48,0.0208333333333333,0.2916666666666667
making snowman,1,15,52,0.0192307692307692,0.2884615384615384
paragliding,1,20,70,0.0142857142857142,0.2857142857142857
barbequing,2,14,50,0.04,0.28
kitesurfing,0,19,68,0.0,0.2794117647058823
surfing water,1,11,40,0.025,0.275
shooting goal (soccer),2,15,56,0.0357142857142857,0.2678571428571428
taking a shower,3,13,50,0.06,0.26
bungee jumping,2,14,54,0.037037037037037,0.2592592592592592
cleaning gutters,3,16,62,0.0483870967741935,0.2580645161290322
playing poker,1,11,43,0.0232558139534883,0.2558139534883721
juggling fire,5,11,43,0.1162790697674418,0.2558139534883721
kicking field goal,1,11,44,0.0227272727272727,0.25
shoveling snow,3,11,44,0.0681818181818181,0.25
playing cello,2,13,52,0.0384615384615384,0.25
snorkeling,0,15,60,0.0,0.25
snowkiting,1,14,57,0.0175438596491228,0.2456140350877192
laying bricks,2,12,49,0.0408163265306122,0.2448979591836734
driving tractor,1,12,49,0.0204081632653061,0.2448979591836734
bee keeping,0,11,45,0.0,0.2444444444444444
chopping wood,3,11,45,0.0666666666666666,0.2444444444444444
changing wheel,0,13,54,0.0,0.2407407407407407
snowboarding,1,13,54,0.0185185185185185,0.2407407407407407
sled dog racing,0,13,54,0.0,0.2407407407407407
playing harp,2,12,50,0.04,0.24
riding mountain bike,1,12,50,0.02,0.24
catching fish,1,11,46,0.0217391304347826,0.2391304347826087
climbing tree,3,16,67,0.044776119402985,0.2388059701492537
water skiing,3,14,59,0.0508474576271186,0.2372881355932203
spray painting,1,13,55,0.0181818181818181,0.2363636363636363
grooming horse,2,12,51,0.0392156862745098,0.2352941176470588
doing laundry,2,12,51,0.0392156862745098,0.2352941176470588
peeling potatoes,4,11,47,0.0851063829787234,0.2340425531914893
cleaning floor,2,11,47,0.0425531914893617,0.2340425531914893
cleaning pool,1,12,52,0.0192307692307692,0.2307692307692307
hitting baseball,3,10,45,0.0666666666666666,0.2222222222222222
playing trombone,2,14,64,0.03125,0.21875
cooking sausages,1,12,55,0.0181818181818181,0.2181818181818181
wrestling,4,11,51,0.0784313725490196,0.2156862745098039
playing accordion,5,13,61,0.081967213114754,0.2131147540983606
weaving basket,1,11,52,0.0192307692307692,0.2115384615384615
hammer throw,2,12,57,0.0350877192982456,0.2105263157894736
dribbling basketball,7,13,62,0.1129032258064516,0.2096774193548387
bobsledding,0,10,49,0.0,0.2040816326530612
riding or walking with horse,3,12,59,0.0508474576271186,0.2033898305084746
bench pressing,5,12,59,0.0847457627118644,0.2033898305084746
bending metal,3,12,59,0.0508474576271186,0.2033898305084746
folding napkins,2,12,59,0.0338983050847457,0.2033898305084746
pushing cart,1,11,55,0.0181818181818181,0.2
flying kite,5,12,60,0.0833333333333333,0.2
egg hunting,0,11,55,0.0,0.2
crossing river,1,9,46,0.0217391304347826,0.1956521739130435
rock climbing,1,9,46,0.0217391304347826,0.1956521739130435
garbage collecting,0,12,62,0.0,0.1935483870967742
diving cliff,0,12,62,0.0,0.1935483870967742
unloading truck,1,11,57,0.0175438596491228,0.1929824561403508
making pizza,3,11,57,0.0526315789473684,0.1929824561403508
playing paintball,4,10,52,0.0769230769230769,0.1923076923076923
pushing car,3,10,52,0.0576923076923076,0.1923076923076923
eating spaghetti,1,12,63,0.0158730158730158,0.1904761904761904
blowing glass,1,12,63,0.0158730158730158,0.1904761904761904
scrambling eggs,1,11,58,0.0172413793103448,0.1896551724137931
passing American football (in game),2,10,53,0.0377358490566037,0.1886792452830188
hurdling,0,11,59,0.0,0.1864406779661017
windsurfing,2,8,43,0.0465116279069767,0.1860465116279069
riding unicycle,2,10,54,0.037037037037037,0.1851851851851851
playing cricket,2,10,55,0.0363636363636363,0.1818181818181818
watering plants,3,13,72,0.0416666666666666,0.1805555555555555
gymnastics tumbling,1,9,50,0.02,0.18
