label,accuracy
playing guitar,0.166667
bowling,0.384615
playing saxophone,0.384615
brushing teeth,0.600000
playing basketball,0.500000
tying tie,0.750000
skiing slalom,0.600000
brushing hair,0.800000
punching person (boxing),0.875000
playing accordion,0.636364
archery,0.263158
catching or throwing frisbee,0.928571
drinking,0.333333
reading book,0.300000
flying kite,0.200000
sweeping floor,0.181818
skipping rope,1.000000
clean and jerk,0.307692
catching or throwing baseball,0.785714
skiing (not slalom or crosscountry),0.500000
juggling soccer ball,0.388889
deadlifting,0.909091
driving car,0.187500
cleaning windows,0.125000
shooting basketball,0.368421
canoeing or kayaking,0.285714
surfing water,0.600000
playing volleyball,0.692308
playing piano,0.352941
writing,0.307692
dribbling basketball,0.500000
playing violin,0.450000
juggling balls,0.416667
playing trumpet,0.642857
smoking,0.315789
shooting goal (soccer),0.857143
hitting baseball,0.866667
sword fighting,0.647059
climbing ladder,0.230769
playing bass guitar,0.692308
playing tennis,0.421053
golf driving,0.437500
hurdling,0.900000
dunking basketball,0.700000
eating ice cream,0.363636
opening bottle,0.222222
reading newspaper,0.300000
climbing a rope,0.357143
walking the dog,0.266667
eating cake,0.105263
