index,img_path,label_A,label_B,clip_choice,prob0,prompt0,prob1,prompt1
0,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000000_deadlifting_to_juggling soccer ball_f8dp7wR4GWg_000003_000013_bg_MCV13GHst20_000002_000012/000151.jpg,deadlifting,juggling soccer ball,0,26.046875,A person doing deadlifting at soccer field,25.999122619628906,A person doing juggling soccer ball at home
1,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000001_reading book_to_catching or throwing baseball_F6Z0vch07n8_000036_000046_bg_eECGtFjKTY8_000018_000028/000151.jpg,reading book,catching or throwing baseball,0,26.04129981994629,A person doing reading book at baseball field,20.604549407958984,A person doing catching or throwing baseball at beach
2,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000002_dunking basketball_to_flying kite_ePkJVG2MnBg_000009_000019_bg_xPYKPbEN6Wc_000104_000114/000151.jpg,dunking basketball,flying kite,0,24.95922088623047,A person doing dunking basketball at field,22.123933792114258,A person doing flying kite at sports arena
3,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000003_playing piano_to_dunking basketball_6Mc8e7lgJtk_000011_000021_bg_Bl28qY8T6NA_000045_000055/000151.jpg,playing piano,dunking basketball,1,19.497655868530273,A person doing playing piano at sports arena,31.047725677490234,A person doing dunking basketball at jazz club
4,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000004_smoking_to_deadlifting_EbRJ9qx31AM_000016_000026_bg_zplKZpwToWc_000000_000010/000151.jpg,smoking,deadlifting,0,24.444753646850586,A person doing smoking at garage,19.22548484802246,A person doing deadlifting at beach
5,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000005_dunking basketball_to_playing piano_IbhU85-DEic_000007_000017_bg_ErtSFRpSeDA_000088_000098/000152.jpg,dunking basketball,playing piano,1,19.54581642150879,A person doing dunking basketball at school auditorium,29.08015251159668,A person doing playing piano at backyard
6,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000006_sweeping floor_to_playing guitar_ZmcFe0bj7N0_000031_000041_bg_PWk72vKZQNU_000071_000081/000151.jpg,sweeping floor,playing guitar,1,19.03131866455078,A person doing sweeping floor at coffee shop,27.59312629699707,A person doing playing guitar at kitchen
7,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000007_catching or throwing baseball_to_sweeping floor_w1c9XilT7NU_000007_000017_bg_fkZxB6qCvf4_000003_000013/000151.jpg,catching or throwing baseball,sweeping floor,1,28.701194763183594,A person doing catching or throwing baseball at kitchen,29.14084243774414,A person doing sweeping floor at baseball field
8,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000008_playing trumpet_to_hitting baseball_-BtzVCzSnLk_000073_000083_bg_w-AQcjcoDyA_000114_000124/000151.jpg,playing trumpet,hitting baseball,0,30.904712677001953,A person doing playing trumpet at batting cage,26.092967987060547,A person doing hitting baseball at music festival
9,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000009_catching or throwing baseball_to_climbing ladder_LQH6hZT6ZbI_000116_000126_bg_93sxC_WUAOs_000096_000106/000151.jpg,catching or throwing baseball,climbing ladder,0,29.599212646484375,A person doing catching or throwing baseball at fire station,22.837583541870117,A person doing climbing ladder at school playground
10,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000010_driving car_to_reading book_wS5HGP6HaQk_000021_000031_bg_PsiGCxGW12A_000086_000096/000151.jpg,driving car,reading book,0,19.879878997802734,A person doing driving car at park,18.47592544555664,A person doing reading book at suburban neighborhood
11,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000011_climbing a rope_to_skiing (not slalom or crosscountry)_miHEwIXio_c_000035_000045_bg_XNJ7LUGL13I_000006_000016/000151.jpg,climbing a rope,skiing (not slalom or crosscountry),1,31.906959533691406,A person doing climbing a rope at zermatt,32.32536697387695,A person doing skiing (not slalom or crosscountry) at climbing wall
12,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000012_tying tie_to_drinking_ecNLf37mews_000012_000022_bg_s-vLJUmPmhA_000109_000119/000151.jpg,tying tie,drinking,0,25.735214233398438,A person doing tying tie at park,22.83873748779297,A person doing drinking at dressing room
13,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000013_juggling soccer ball_to_playing volleyball_b4qCiigUelQ_000016_000026_bg_u14xcMsAsA0_000055_000065/000151.jpg,juggling soccer ball,playing volleyball,1,24.420162200927734,A person doing juggling soccer ball at backyard,27.840164184570312,A person doing playing volleyball at soccer field
