action_swap_path,label_A,label_B,choice_1,choice_2,choice_3,choice_4,choice_5,human_choice,background_choice,choice,choice_is_human,choice_is_bg
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000000_deadlifting_to_juggling soccer ball_f8dp7wR4GWg_000003_000013_bg_MCV13GHst20_000002_000012,deadlifting,juggling soccer ball,brushing hair,bowling,deadlifting,juggling soccer ball,sword fighting,3,4,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000001_reading book_to_catching or throwing baseball_F6Z0vch07n8_000036_000046_bg_eECGtFjKTY8_000018_000028,reading book,catching or throwing baseball,skiing slalom,catching or throwing baseball,dunking basketball,reading book,playing tennis,4,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000002_dunking basketball_to_flying kite_ePkJVG2MnBg_000009_000019_bg_xPYKPbEN6Wc_000104_000114,dunking basketball,flying kite,bowling,dunking basketball,playing saxophone,tying tie,flying kite,2,5,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000003_playing piano_to_dunking basketball_6Mc8e7lgJtk_000011_000021_bg_Bl28qY8T6NA_000045_000055,playing piano,dunking basketball,playing violin,dunking basketball,playing piano,drinking,climbing a rope,3,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000004_smoking_to_deadlifting_EbRJ9qx31AM_000016_000026_bg_zplKZpwToWc_000000_000010,smoking,deadlifting,smoking,playing trumpet,playing guitar,walking the dog,deadlifting,1,5,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000005_dunking basketball_to_playing piano_IbhU85-DEic_000007_000017_bg_ErtSFRpSeDA_000088_000098,dunking basketball,playing piano,playing accordion,reading book,playing piano,catching or throwing baseball,dunking basketball,5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000006_sweeping floor_to_playing guitar_ZmcFe0bj7N0_000031_000041_bg_PWk72vKZQNU_000071_000081,sweeping floor,playing guitar,playing guitar,skipping rope,deadlifting,shooting goal (soccer),sweeping floor,5,1,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000007_catching or throwing baseball_to_sweeping floor_w1c9XilT7NU_000007_000017_bg_fkZxB6qCvf4_000003_000013,catching or throwing baseball,sweeping floor,sweeping floor,catching or throwing baseball,tying tie,juggling balls,cleaning windows,2,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000008_playing trumpet_to_hitting baseball_-BtzVCzSnLk_000073_000083_bg_w-AQcjcoDyA_000114_000124,playing trumpet,hitting baseball,playing saxophone,playing basketball,playing trumpet,golf driving,hitting baseball,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000009_catching or throwing baseball_to_climbing ladder_LQH6hZT6ZbI_000116_000126_bg_93sxC_WUAOs_000096_000106,catching or throwing baseball,climbing ladder,walking the dog,climbing ladder,catching or throwing baseball,skiing slalom,driving car,3,2,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000010_driving car_to_reading book_wS5HGP6HaQk_000021_000031_bg_PsiGCxGW12A_000086_000096,driving car,reading book,reading book,eating ice cream,playing bass guitar,driving car,juggling soccer ball,4,1,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000011_climbing a rope_to_skiing (not slalom or crosscountry)_miHEwIXio_c_000035_000045_bg_XNJ7LUGL13I_000006_000016,climbing a rope,skiing (not slalom or crosscountry),climbing a rope,reading newspaper,flying kite,hurdling,skiing (not slalom or crosscountry),1,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000012_tying tie_to_drinking_ecNLf37mews_000012_000022_bg_s-vLJUmPmhA_000109_000119,tying tie,drinking,juggling balls,climbing a rope,tying tie,sword fighting,drinking,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000013_juggling soccer ball_to_playing volleyball_b4qCiigUelQ_000016_000026_bg_u14xcMsAsA0_000055_000065,juggling soccer ball,playing volleyball,cleaning windows,playing volleyball,eating cake,juggling soccer ball,playing saxophone,4,2,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000014_bowling_to_eating ice cream_Epp4z1hle48_000033_000043_bg_dxV0ZeVJYAU_000005_000015,bowling,eating ice cream,flying kite,eating ice cream,bowling,writing,climbing ladder,3,2,E,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000015_cleaning windows_to_clean and jerk_sn2TKS2zqo0_000061_000071_bg_cS3_7_XY4RU_000005_000015,cleaning windows,clean and jerk,cleaning windows,clean and jerk,flying kite,punching person (boxing),dunking basketball,1,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000016_shooting basketball_to_hurdling_j8i_2Hz1XHA_000003_000013_bg_AYHbK7Ba50A_000078_000088,shooting basketball,hurdling,shooting basketball,driving car,playing trumpet,juggling soccer ball,hurdling,1,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000017_smoking_to_deadlifting_JzSw34VjIzo_000032_000042_bg_Zm4jkDRzcZc_000003_000013,smoking,deadlifting,smoking,brushing teeth,tying tie,brushing hair,deadlifting,1,5,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000018_playing trumpet_to_punching person (boxing)_3f9VlqbXH2I_000114_000124_bg_Je5KsM6aUc0_000011_000021,playing trumpet,punching person (boxing),playing trumpet,punching person (boxing),shooting goal (soccer),driving car,playing basketball,1,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000019_walking the dog_to_dunking basketball_ypl3JWaPnFA_000063_000073_bg_fNvsvkohgY4_000000_000010,walking the dog,dunking basketball,playing bass guitar,dunking basketball,playing guitar,playing violin,walking the dog,5,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000020_eating ice cream_to_sword fighting_GQQ3s4O_-HY_000006_000016_bg_VoX60Mfn15k_000007_000017,eating ice cream,sword fighting,brushing hair,canoeing or kayaking,eating ice cream,clean and jerk,sword fighting,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000021_playing bass guitar_to_brushing hair_qx8eYKeDhmw_000187_000197_bg_gkNaCAQyU_0_000034_000044,playing bass guitar,brushing hair,skiing slalom,drinking,playing bass guitar,brushing hair,writing,3,4,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000022_playing basketball_to_climbing ladder_ocJaiKOm55g_000048_000058_bg_YMmESs1QLSM_000005_000015,playing basketball,climbing ladder,reading newspaper,dribbling basketball,climbing ladder,catching or throwing frisbee,playing basketball,5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000023_skipping rope_to_eating cake_GUWR5TyiY-M_000012_000022_bg_4fwEL41mQAs_000000_000010,skipping rope,eating cake,catching or throwing baseball,brushing hair,driving car,skipping rope,eating cake,4,5,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000024_dunking basketball_to_flying kite_f0H5AVFMHrg_000000_000010_bg_07xOT83TIG4_000040_000050,dunking basketball,flying kite,tying tie,golf driving,playing piano,flying kite,dunking basketball,5,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000025_brushing hair_to_playing saxophone_GlykR4fqsVc_000049_000059_bg_rlDGXO3KwO4_000001_000011,brushing hair,playing saxophone,playing saxophone,juggling balls,brushing hair,drinking,skipping rope,3,1,C,True,False
